MAN_112_2_2_b_0m
Lambda:  1.54178  Magnif:   1.0  FWHM:  0.200
Space grp: P_-3_1_c  Direct cell:    8.7483    8.7483    8.1925   90.00   90.00  120.00

 No.    h   k   l      d        |F|    Phi    Mult.  2th.(Ka)  Int.(Ka)

   1    0   1   0    7.5762     78.7   0.000    6       11.68       16
   2    0   1   1    5.5623     70.0   3.142   12       15.93       13
   3    1   1   0    4.3741    245.0   0.000    6       20.30       49
   4    0   0   2    4.0962    153.5   3.142    2       21.69        6
   5    0   2   0    3.7881     68.0   3.142    6       23.48        3
   6    0   1   2    3.6033    103.8   0.000   12       24.71       12
   7    0   2   1    3.4383    319.8   0.000   12       25.91      100
   8    1   1   2    2.9899    209.3   0.000    6       29.88       16
   9    1   2   0    2.8636    116.9   0.000   12       31.23        9
  10    0   2   2    2.7812    257.6   0.000   12       32.18       41
  11    1   2   1    2.7032     19.7   0.000   12       33.14        0
  12    0   1   3    2.5690    108.7   3.142   12       34.92        6
  13    0   3   0    2.5254    120.7   0.000    6       35.55        4
  14    0   3   1    2.4134      6.0   0.000   12       37.26        0
  15    1   2   2    2.3469     97.9   0.000   12       38.35        4
  16    0   2   3    2.2152    161.2   3.142   12       40.73       10
  17    2   2   0    2.1871    385.2   0.000    6       41.28       26
  18    0   3   2    2.1497    194.4   0.000   12       42.03       13
  19    1   3   0    2.1013    144.5   0.000   12       43.05        7
  20    0   0   4    2.0481    292.4   0.000    2       44.22        4
  21    1   3   1    2.0354     33.0   3.142   12       44.51        0
  22    0   1   4    1.9772    168.8   0.000   12       45.90        8
  23    1   2   3    1.9762     87.6   3.142   12       45.92        2
  24    2   2   2    1.9293     88.9   3.142    6       47.10        1
  25    0   4   0    1.8941     10.1   3.142    6       48.03        0
  26    1   3   2    1.8696     68.8   0.000   12       48.70        1
  27    1   1   4    1.8549     16.8   0.000    6       49.11        0
  28    0   3   3    1.8541      8.0   3.142   12       49.14        0
  29    0   4   1    1.8454    176.4   3.142   12       49.38        7
  30    0   2   4    1.8017     24.2   0.000   12       50.67        0
  31    2   3   0    1.7381    138.1   0.000   12       52.66        4
  32    0   4   2    1.7192    204.3   0.000   12       53.28        8
  33    2   3   1    1.7003     40.0   0.000   12       53.92        0
  34    1   2   4    1.6659    138.1   0.000   12       55.13        4
  35    1   3   3    1.6653     64.9   0.000   12       55.15        1
  36    1   4   0    1.6533     52.7   0.000   12       55.59        1
  37    1   4   1    1.6206     20.9   3.142   12       56.81        0
  38    0   1   5    1.6015     46.7   0.000   12       57.55        0
  39    2   3   2    1.6000     59.4   0.000   12       57.61        1
  40    0   3   4    1.5907     22.9   0.000   12       57.97        0
  41    0   4   3    1.5564    134.2   0.000   12       59.38        3
