#Collected Data-1
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
5.0000 4.0000
5.0200 3.0000
5.0400 4.0000
5.0600 6.0000
5.0800 3.0000
5.1000 4.0000
5.1200 4.0000
5.1400 3.0000
5.1600 1.0000
5.1800 0.0000
5.2000 1.0000
5.2200 2.0000
5.2400 4.0000
5.2600 5.0000
5.2800 3.0000
5.3000 4.0000
5.3200 5.0000
5.3400 3.0000
5.3600 4.0000
5.3800 5.0000
5.4000 4.0000
5.4200 1.0000
5.4400 3.0000
5.4600 5.0000
5.4800 3.0000
5.5000 2.0000
5.5200 3.0000
5.5400 4.0000
5.5600 7.0000
5.5800 5.0000
5.6000 7.0000
5.6200 7.0000
5.6400 5.0000
5.6600 4.0000
5.6800 8.0000
5.7000 5.0000
5.7200 3.0000
5.7400 2.0000
5.7600 3.0000
5.7800 3.0000
5.8000 4.0000
5.8200 6.0000
5.8400 4.0000
5.8600 5.0000
5.8800 4.0000
5.9000 4.0000
5.9200 5.0000
5.9400 4.0000
5.9600 3.0000
5.9800 3.0000
6.0000 7.0000
6.0200 8.0000
6.0400 6.0000
6.0600 4.0000
6.0800 4.0000
6.1000 3.0000
6.1200 3.0000
6.1400 4.0000
6.1600 5.0000
6.1800 4.0000
6.2000 6.0000
6.2200 6.0000
6.2400 4.0000
6.2600 4.0000
6.2800 5.0000
6.3000 5.0000
6.3200 6.0000
6.3400 5.0000
6.3600 5.0000
6.3800 5.0000
6.4000 3.0000
6.4200 2.0000
6.4400 2.0000
6.4600 5.0000
6.4800 4.0000
6.5000 5.0000
6.5200 4.0000
6.5400 4.0000
6.5600 4.0000
6.5800 2.0000
6.6000 2.0000
6.6200 3.0000
6.6400 5.0000
6.6600 7.0000
6.6800 7.0000
6.7000 4.0000
6.7200 6.0000
6.7400 3.0000
6.7600 2.0000
6.7800 5.0000
6.8000 2.0000
6.8200 2.0000
6.8400 4.0000
6.8600 9.0000
6.8800 4.0000
6.9000 4.0000
6.9200 5.0000
6.9400 6.0000
6.9600 4.0000
6.9800 3.0000
7.0000 4.0000
7.0200 5.0000
7.0400 4.0000
7.0600 3.0000
7.0800 1.0000
7.1000 1.0000
7.1200 2.0000
7.1400 3.0000
7.1600 3.0000
7.1800 2.0000
7.2000 4.0000
7.2200 3.0000
7.2400 2.0000
7.2600 3.0000
7.2800 5.0000
7.3000 5.0000
7.3200 2.0000
7.3400 2.0000
7.3600 1.0000
7.3800 2.0000
7.4000 5.0000
7.4200 4.0000
7.4400 2.0000
7.4600 2.0000
7.4800 3.0000
7.5000 2.0000
7.5200 3.0000
7.5400 5.0000
7.5600 5.0000
7.5800 3.0000
7.6000 3.0000
7.6200 4.0000
7.6400 2.0000
7.6600 4.0000
7.6800 5.0000
7.7000 4.0000
7.7200 3.0000
7.7400 0.0000
7.7600 1.0000
7.7800 3.0000
7.8000 4.0000
7.8200 4.0000
7.8400 3.0000
7.8600 3.0000
7.8800 6.0000
7.9000 7.0000
7.9200 8.0000
7.9400 6.0000
7.9600 4.0000
7.9800 5.0000
8.0000 5.0000
8.0200 5.0000
8.0400 4.0000
8.0600 5.0000
8.0800 7.0000
8.1000 3.0000
8.1200 3.0000
8.1400 4.0000
8.1600 4.0000
8.1800 3.0000
8.2000 4.0000
8.2200 4.0000
8.2400 4.0000
8.2600 7.0000
8.2800 5.0000
8.3000 5.0000
8.3200 5.0000
8.3400 4.0000
8.3600 4.0000
8.3800 8.0000
8.4000 5.0000
8.4200 3.0000
8.4400 4.0000
8.4600 6.0000
8.4800 6.0000
8.5000 6.0000
8.5200 4.0000
8.5400 6.0000
8.5600 7.0000
8.5800 7.0000
8.6000 5.0000
8.6200 5.0000
8.6400 4.0000
8.6600 5.0000
8.6800 6.0000
8.7000 6.0000
8.7200 4.0000
8.7400 3.0000
8.7600 2.0000
8.7800 6.0000
8.8000 9.0000
8.8200 10.0000
8.8400 7.0000
8.8600 6.0000
8.8800 5.0000
8.9000 5.0000
8.9200 3.0000
8.9400 3.0000
8.9600 4.0000
8.9800 5.0000
9.0000 6.0000
9.0200 4.0000
9.0400 5.0000
9.0600 7.0000
9.0800 4.0000
9.1000 2.0000
9.1200 5.0000
9.1400 9.0000
9.1600 9.0000
9.1800 8.0000
9.2000 3.0000
9.2200 6.0000
9.2400 10.0000
9.2600 7.0000
9.2800 5.0000
9.3000 5.0000
9.3200 5.0000
9.3400 4.0000
9.3600 8.0000
9.3800 8.0000
9.4000 4.0000
9.4200 4.0000
9.4400 4.0000
9.4600 5.0000
9.4800 5.0000
9.5000 3.0000
9.5200 3.0000
9.5400 5.0000
9.5600 5.0000
9.5800 6.0000
9.6000 8.0000
9.6200 5.0000
9.6400 5.0000
9.6600 9.0000
9.6800 7.0000
9.7000 5.0000
9.7200 5.0000
9.7400 3.0000
9.7600 2.0000
9.7800 4.0000
9.8000 7.0000
9.8200 6.0000
9.8400 4.0000
9.8600 3.0000
9.8800 2.0000
9.9000 4.0000
9.9200 4.0000
9.9400 2.0000
9.9600 4.0000
9.9800 5.0000
10.0000 3.0000
10.0200 8.0000
10.0400 10.0000
10.0600 6.0000
10.0800 8.0000
10.1000 6.0000
10.1200 6.0000
10.1400 9.0000
10.1600 7.0000
10.1800 8.0000
10.2000 6.0000
10.2200 6.0000
10.2400 7.0000
10.2600 6.0000
10.2800 5.0000
10.3000 7.0000
10.3200 9.0000
10.3400 8.0000
10.3600 13.0000
10.3800 14.0000
10.4000 7.0000
10.4200 13.0000
10.4400 12.0000
10.4600 11.0000
10.4800 10.0000
10.5000 11.0000
10.5200 14.0000
10.5400 15.0000
10.5600 13.0000
10.5800 12.0000
10.6000 11.0000
10.6200 15.0000
10.6400 12.0000
10.6600 11.0000
10.6800 16.0000
10.7000 18.0000
10.7200 25.0000
10.7400 22.0000
10.7600 28.0000
10.7800 29.0000
10.8000 23.0000
10.8200 24.0000
10.8400 21.0000
10.8600 27.0000
10.8800 21.0000
10.9000 21.0000
10.9200 25.0000
10.9400 17.0000
10.9600 17.0000
10.9800 27.0000
11.0000 28.0000
11.0200 28.0000
11.0400 34.0000
11.0600 35.0000
11.0800 36.0000
11.1000 57.0000
11.1200 53.0000
11.1400 50.0000
11.1600 44.0000
11.1800 45.0000
11.2000 31.0000
11.2200 19.0000
11.2400 21.0000
11.2600 25.0000
11.2800 21.0000
11.3000 20.0000
11.3200 27.0000
11.3400 32.0000
11.3600 45.0000
11.3800 45.0000
11.4000 47.0000
11.4200 50.0000
11.4400 52.0000
11.4600 57.0000
11.4800 76.0000
11.5000 89.0000
11.5200 103.0000
11.5400 138.0000
11.5600 158.0000
11.5800 182.0000
11.6000 222.0000
11.6200 268.0000
11.6400 318.0000
11.6600 321.0000
11.6800 381.0000
11.7000 405.0000
11.7200 443.0000
11.7400 461.0000
11.7600 438.0000
11.7800 395.0000
11.8000 306.0000
11.8200 201.0000
11.8400 119.0000
11.8600 72.0000
11.8800 39.0000
11.9000 26.0000
11.9200 25.0000
11.9400 17.0000
11.9600 14.0000
11.9800 12.0000
12.0000 17.0000
12.0200 12.0000
12.0400 12.0000
12.0600 6.0000
12.0800 4.0000
12.1000 12.0000
12.1200 8.0000
12.1400 4.0000
12.1600 7.0000
12.1800 7.0000
12.2000 5.0000
12.2200 7.0000
12.2400 9.0000
12.2600 2.0000
12.2800 5.0000
12.3000 5.0000
12.3200 4.0000
12.3400 6.0000
12.3600 9.0000
12.3800 6.0000
12.4000 4.0000
12.4200 7.0000
12.4400 7.0000
12.4600 5.0000
12.4800 5.0000
12.5000 7.0000
12.5200 6.0000
12.5400 6.0000
12.5600 6.0000
12.5800 5.0000
12.6000 6.0000
12.6200 4.0000
12.6400 6.0000
12.6600 6.0000
12.6800 5.0000
12.7000 8.0000
12.7200 8.0000
12.7400 5.0000
12.7600 8.0000
12.7800 6.0000
12.8000 5.0000
12.8200 1.0000
12.8400 3.0000
12.8600 6.0000
12.8800 6.0000
12.9000 5.0000
12.9200 5.0000
12.9400 4.0000
12.9600 2.0000
12.9800 8.0000
13.0000 5.0000
13.0200 4.0000
13.0400 5.0000
13.0600 3.0000
13.0800 4.0000
13.1000 4.0000
13.1200 7.0000
13.1400 6.0000
13.1600 7.0000
13.1800 7.0000
13.2000 9.0000
13.2200 7.0000
13.2400 7.0000
13.2600 9.0000
13.2800 4.0000
13.3000 5.0000
13.3200 3.0000
13.3400 4.0000
13.3600 7.0000
13.3800 5.0000
13.4000 5.0000
13.4200 6.0000
13.4400 3.0000
13.4600 6.0000
13.4800 6.0000
13.5000 9.0000
13.5200 6.0000
13.5400 5.0000
13.5600 8.0000
13.5800 5.0000
13.6000 8.0000
13.6200 6.0000
13.6400 7.0000
13.6600 3.0000
13.6800 7.0000
13.7000 4.0000
13.7200 6.0000
13.7400 4.0000
13.7600 4.0000
13.7800 5.0000
13.8000 4.0000
13.8200 6.0000
13.8400 3.0000
13.8600 7.0000
13.8800 5.0000
13.9000 6.0000
13.9200 4.0000
13.9400 4.0000
13.9600 3.0000
13.9800 1.0000
14.0000 2.0000
